Zeile i   aFdS    gS
3     -    -     0
4     0    -     0
6     0   7500   0
8     0   7500   7500
4     1    -     7500
6     1   5000   7500
8     1   5000   12500
4     2    -     12500
6     2   2530   12500
8     2   2530   15030
4     3    -     15030
6     3   3000   15030
8     3   3000   18030
4     4    -     18030
6     4   7744   18030
8     4   7744   25774
Zeile i   j   t
3   --   --   z
4   32   --   z
6   32   65   z
8   32   65   A
4   33   --   A
6   33   67   A
8   33   67   C
4   34   --   C
6   34   69   C
8   34   69   E

A C E 
